"","X","startTime","compDepth","compMeanRate","compPeakTime","endTime"
"1",1,8.94,50,110,10.79,11.04
"2",2,11.09,48,116,11.29,11.5
"3",3,11.57,48,116,11.8,12
"4",4,12.05,46,120,12.29,12.5
"5",5,12.57,47,116,12.83,13.04
"6",6,13.11,52,115,13.35,13.56
"7",7,13.63,49,112,13.88,14.08
"8",8,14.15,48,117,14.38,14.6
"9",9,14.65,47,117,14.91,15.1
"10",10,15.15,49,118,15.4,15.64
"11",11,15.71,45,115,15.93,16.14
"12",12,16.21,48,115,16.45,16.66
"13",13,16.71,47,116,16.95,17.16
"14",14,17.21,47,118,17.45,17.66
"15",15,17.71,46,120,17.95,18.16
"16",16,18.21,47,120,18.46,18.66
"17",17,18.73,47,118,18.97,19.16
"18",18,19.23,47,118,19.47,19.68
"19",19,19.77,44,118,19.98,20.18
"20",20,20.27,46,117,20.51,20.7
"21",21,20.79,47,117,21.02,21.22
"22",22,21.29,48,117,21.52,21.76
"23",23,21.79,44,117,22.05,22.26
"24",24,22.33,44,115,22.57,22.78
"25",25,22.85,46,115,23.08,23.28
"26",26,23.37,48,115,23.61,23.82
"27",27,23.87,46,117,24.12,24.32
"28",28,24.41,45,114,24.64,24.84
"29",29,24.93,46,117,25.16,25.38
"30",30,25.45,44,115,25.67,25.9
"31",31,25.95,46,116,26.19,26.4
"32",32,26.45,46,115,26.71,26.92
"33",33,26.97,45,115,27.23,27.44
"34",34,27.51,46,115,27.75,27.96
"35",35,28.01,48,115,28.27,28.5
"36",36,28.53,48,113,28.8,29
"37",37,29.1,50,113,29.35,29.54
"38",38,29.61,49,113,29.87,30.08
"39",39,30.15,45,116,30.38,30.6
"40",40,30.67,46,116,30.9,31.1
"41",41,31.19,45,116,31.41,31.6
"42",42,31.69,45,115,31.93,32.14
"43",43,32.17,47,116,32.44,32.64
"44",44,32.69,49,115,32.97,33.18
"45",45,33.23,48,115,33.49,33.7
"46",46,33.77,44,113,34.01,34.24
"47",47,34.27,47,116,34.51,34.74
"48",48,34.81,47,116,35.04,35.26
"49",49,35.31,47,116,35.56,35.74
"50",50,35.83,48,115,36.07,36.28
"51",51,36.35,49,115,36.59,36.82
"52",52,36.85,49,115,37.1,37.32
"53",53,37.39,50,113,37.64,37.86
"54",54,37.95,48,115,38.16,38.38
