"","Time.Date","Acc.X","Acc.Y","Acc.Z"
"26361",263600,2.668,-2.417,9.392
"26362",263610,2.743,-2.417,9.391
"26363",263620,2.743,-2.493,9.465
"26364",263630,2.743,-2.493,9.465
"26365",263640,2.668,-2.568,9.465
"26366",263650,2.519,-2.493,9.394
"26367",263660,2.444,-2.417,9.396
"26368",263670,2.519,-2.417,9.246
"26369",263680,2.594,-2.342,9.171
"26370",263690,2.519,-2.191,9.174
"26371",263700,2.593,-2.116,9.322
"26372",263710,2.593,-2.041,9.323
"26373",263720,2.518,-2.041,9.324
"26374",263730,2.519,-2.116,9.174
"26375",263740,2.444,-2.116,9.027
"26376",263750,2.444,-2.116,9.101
"26377",263760,2.444,-1.965,9.103
"26378",263770,2.593,-1.965,9.175
"26379",263780,2.668,-1.965,9.323
"26380",263790,2.668,-2.041,9.248
"26381",263800,2.743,-2.191,9.319
"26382",263810,2.743,-2.191,9.394
"26383",263820,2.743,-2.267,9.319
"26384",263830,2.668,-2.342,9.096
"26385",263840,2.519,-2.267,8.95
"26386",263850,2.519,-2.116,8.951
"26387",263860,2.593,-2.041,9.174
"26388",263870,2.743,-2.116,9.171
"26389",263880,2.817,-2.191,9.169
"26390",263890,2.743,-2.267,9.244
"26391",263900,2.743,-2.342,9.243
"26392",263910,2.668,-2.417,9.244
"26393",263920,2.668,-2.342,9.244
"26394",263930,2.668,-2.267,9.245
"26395",263940,2.668,-2.267,9.245
"26396",263950,2.668,-2.267,9.171
"26397",263960,2.743,-2.116,9.171
"26398",263970,2.817,-2.191,9.393
"26399",263980,2.892,-2.417,9.761
"26400",263990,2.519,-2.493,9.766
"26401",264000,2.071,-2.417,9.773
"26402",264010,1.921,-2.267,9.777
"26403",264020,1.996,-2.267,9.776
"26404",264030,2.145,-2.116,9.775
"26405",264040,2.369,-2.041,9.698
"26406",264050,2.518,-2.041,9.324
"26407",264060,2.519,-2.116,9.026
"26408",264070,2.594,-2.794,9.241
"26409",264080,2.52,-3.396,9.012
"26410",264090,2.371,-3.471,8.641
"26411",264100,2.296,-3.321,8.495
"26412",264110,2.445,-3.02,8.571
"26413",264120,2.743,-2.869,8.717
"26414",264130,2.893,-3.02,8.713
"26415",264140,2.669,-2.944,8.494
"26416",264150,2.221,-2.718,8.577
"26417",264160,1.996,-2.493,8.88
"26418",264170,2.071,-2.643,8.803
"26419",264180,2.37,-2.718,8.649
"26420",264190,2.668,-2.568,8.87
"26421",264200,2.817,-2.342,9.168
"26422",264210,2.817,-2.267,9.392
"26423",264220,2.817,-2.342,9.317
"26424",264230,2.668,-2.568,9.093
"26425",264240,2.445,-2.794,8.573
"26426",264250,2.445,-2.869,8.349
"26427",264260,2.519,-2.869,8.497
"26428",264270,2.594,-2.568,8.648
"26429",264280,2.593,-2.191,9.024
"26430",264290,2.668,-1.965,9.248
"26431",264300,2.817,-1.965,9.469
"26432",264310,2.892,-2.116,9.467
"26433",264320,2.817,-2.267,9.169
"26434",264330,2.743,-2.267,8.872
"26435",264340,2.743,-2.191,8.65
"26436",264350,2.892,-1.89,8.576
"26437",264360,3.041,-1.514,8.652
"26438",264370,3.04,-1.363,8.58
"26439",264380,3.041,-1.514,8.578
"26440",264390,2.966,-1.363,8.581
"26441",264400,2.741,-0.986,8.737
"26442",264410,2.592,-0.685,8.816
"26443",264420,2.591,-0.535,8.669
"26444",264430,2.741,-0.761,8.441
"26445",264440,2.741,-1.137,8.214
"26446",264450,2.667,-1.514,8.36
"26447",264460,2.518,-1.664,8.212
"26448",264470,2.518,-1.438,7.842
"26449",264480,2.667,-0.986,8.365
"26450",264490,2.89,-0.535,8.888
"26451",264500,3.114,-0.836,9.03
"26452",264510,3.115,-1.74,8.872
"26453",264520,2.966,-1.965,9.095
"26454",264530,2.593,-1.74,10.219
"26455",264540,2.145,-1.74,10.895
"26456",264550,1.473,-2.267,11.123
"26457",264560,0.428,-2.493,11.209
"26458",264570,-0.543,-2.191,10.929
"26459",264580,-0.692,-1.815,10.042
"26460",264590,0.278,-1.212,9.588
"26461",264600,1.621,-1.062,10.389
"26462",264610,2.218,-0.836,11.648
"26463",264620,2.442,-0.911,12.983
"26464",264630,2.667,-1.514,13.272
"26465",264640,2.668,-2.417,11.997
"26466",264650,1.997,-2.794,10.44
"26467",264660,1.324,-2.191,10.009
"26468",264670,1.099,-1.589,10.242
"26469",264680,1.846,-1.74,11.867
"26470",264690,3.34,-2.493,14.517
"26471",264700,4.835,-3.622,15.824
"26472",264710,5.359,-4.827,15.134
"26473",264720,4.388,-4.752,13.66
"26474",264730,2.894,-3.773,12.873
"26475",264740,1.548,-2.417,12.311
"26476",264750,0.726,-1.589,10.842
"26477",264760,0.727,-2.267,8.156
"26478",264770,0.43,-3.773,5.689
"26479",264780,-0.39,-4.601,3.683
"26480",264790,-0.615,-3.697,3.695
"26481",264800,0.427,-1.664,5.116
"26482",264810,2.367,0.143,6.744
"26483",264820,4.083,0.971,7.622
"26484",264830,5.128,0.746,7.679
"26485",264840,5.13,-0.233,7.892
"26486",264850,4.309,-1.212,8.191
"26487",264860,3.34,-1.89,7.974
"26488",264870,2.518,-1.965,7.539
"26489",264880,2.145,-1.815,6.95
"26490",264890,2.145,-1.815,6.727
"26491",264900,2.593,-1.589,8.286
"26492",264910,2.891,-1.137,8.882
"26493",264920,3.04,-0.911,8.956
"26494",264930,2.965,-1.137,8.509
"26495",264940,2.817,-1.589,8.283
"26496",264950,2.668,-2.041,8.354
"26497",264960,2.295,-2.191,8.581
"26498",264970,1.995,-1.74,8.59
"26499",264980,2.144,-0.911,8.374
"26500",264990,2.517,-0.384,7.927
"26501",265000,2.89,-0.535,7.548
"26502",265010,2.816,-0.761,7.249
"26503",265020,2.144,-0.911,7.332
"26504",265030,1.92,-1.062,7.408
"26505",265040,2.368,-0.986,7.477
"26506",265050,2.741,-0.61,8.145
"26507",265060,2.666,-0.459,9.487
"26508",265070,1.92,-1.137,10.905
"26509",265080,0.504,-3.02,11.947
"26510",265090,-1.062,-5.279,12.467
"26511",265100,-1.135,-6.408,11.414
"26512",265110,-0.316,-4.45,11.051
"26513",265120,0.501,-0.911,11.374
"26514",265130,1.917,1.122,12.938
"26515",265140,3.637,-0.535,14.459
"26516",265150,4.985,-3.848,13.884
"26517",265160,3.717,-5.053,11.136
"26518",265170,1.475,-3.396,9.994
"26519",265180,0.577,-1.589,10.398
"26520",265190,1.921,-1.74,12.684
"26521",265200,4.461,-3.246,14.642
"26522",265210,6.478,-4.149,15.2
"26523",265220,6.105,-4.149,15.13
"26524",265230,4.163,-4.074,13.894
"26525",265240,1.999,-4.526,11.761
"26526",265250,0.58,-4.526,9.4
"26527",265260,-0.169,-2.643,7.942
"26528",265270,-0.768,-0.535,7.526
"26529",265280,-0.844,0.369,7.015
"26530",265290,0.052,-0.158,7.146
"26531",265300,1.248,-0.986,7.269
"26532",265310,1.996,-2.041,7.248
"26533",265320,2.445,-2.794,7.085
"26534",265330,2.968,-2.944,6.852
"26535",265340,3.564,-2.493,7.221
"26536",265350,3.788,-1.965,7.744
"26537",265360,3.638,-1.514,7.974
"26538",265370,3.189,-1.137,7.984
"26539",265380,2.666,-0.911,7.771
"26540",265390,2.293,-0.986,7.329
"26541",265400,2.293,-0.986,7.254
"26542",265410,2.368,-0.685,8.001
"26543",265420,2.517,-0.384,8.672
"26544",265430,2.666,-0.384,8.893
"26545",265440,2.741,-0.685,8.888
"26546",265450,2.741,-1.137,8.735
"26547",265460,2.518,-1.514,8.213
"26548",265470,2.369,-1.664,7.544
"26549",265480,2.294,-1.74,7.395
"26550",265490,2.294,-1.664,7.545
"26551",265500,2.294,-1.288,7.847
"26552",265510,2.293,-0.761,7.852
"26553",265520,2.442,-0.61,7.628
"26554",265530,2.816,-0.761,7.175
"26555",265540,2.965,-1.137,6.722
"26556",265550,2.667,-1.589,6.35
"26557",265560,2.144,-1.438,6.731
"26558",265570,1.994,-0.685,7.411
"26559",265580,2.217,0.218,8.012
"26560",265590,2.516,0.444,9.722
"26561",265600,2.219,-1.514,12.236
"26562",265610,1.103,-4.526,13.337
"26563",265620,-0.163,-7.086,13.328
"26564",265630,-0.314,-6.408,12.519
"26565",265640,-0.168,-3.02,12.701
"26566",265650,1.546,-0.685,12.924
"26567",265660,3.487,-0.61,13.567
"26568",265670,4.534,-2.041,13.24
"26569",265680,3.192,-3.02,11.165
"26570",265690,1.324,-2.568,10.08
"26571",265700,1.1,-1.965,10.908
"26572",265710,2.593,-2.267,12.967
"26573",265720,4.461,-3.246,14.642
"26574",265730,5.582,-3.773,14.918
"26575",265740,4.536,-3.773,14.487
"26576",265750,2.894,-3.848,12.872
"26577",265760,1.55,-3.622,10.884
"26578",265770,0.578,-2.944,9.342
"26579",265780,-0.393,-2.267,7.8
"26580",265790,0.278,-1.74,8.54
"26581",265800,-0.097,0.218,8.64
"26582",265810,0.202,-0.309,8.556
"26583",265820,0.875,-1.438,8.609
"26584",265830,1.623,-2.267,7.995
"26585",265840,2.221,-3.02,6.713
"26586",265850,2.893,-3.17,5.958
"26587",265860,3.415,-2.643,6.328
"26588",265870,3.712,-1.514,7.154
"26589",265880,3.711,-0.61,7.834
"26590",265890,3.487,-0.384,7.988
"26591",265900,3.189,-0.761,7.765
"26592",265910,3.04,-1.288,7.39
"26593",265920,3.04,-1.438,7.165
"26594",265930,2.966,-1.438,7.315
"26595",265940,2.667,-1.288,7.841
"26596",265950,2.368,-0.986,8.444
"26597",265960,2.293,-0.986,8.817
"26598",265970,2.443,-1.062,8.889
"26599",265980,2.742,-1.288,8.882
"26600",265990,2.817,-1.514,8.804
"26601",266000,2.667,-1.514,8.658
"26602",266010,2.667,-1.514,8.583
"26603",266020,2.592,-1.438,8.585
"26604",266030,2.443,-1.288,8.663
"26605",266040,2.219,-1.137,8.594
"26606",266050,2.069,-0.986,8.374
"26607",266060,2.293,-0.61,8.003
"26608",266070,2.516,-0.309,7.705
"26609",266080,2.591,-0.459,7.553
"26610",266090,2.517,-0.836,7.178
"26611",266100,2.368,-1.363,6.877
"26612",266110,2.369,-1.74,6.65
"26613",266120,2.444,-1.815,5.979
"26614",266130,2.518,-1.288,6.43
"26615",266140,2.592,-0.685,8.221
"26616",266150,2.219,-1.062,10.976
"26617",266160,1.25,-3.02,12.904
"26618",266170,-0.016,-5.203,13.569
"26619",266180,-0.537,-6.484,12.595
