"","Time.Date","Acc.X","Acc.Y","Acc.Z"
"5201",52000,-5.75,6.675,4.885
"5202",52010,-5.75,6.599,4.885
"5203",52020,-5.749,6.523,4.734
"5204",52030,-5.675,6.523,4.584
"5205",52040,-5.675,6.599,4.584
"5206",52050,-5.6,6.523,4.583
"5207",52060,-5.377,6.371,4.58
"5208",52070,-5.153,6.22,4.503
"5209",52080,-5.078,6.144,4.427
"5210",52090,-5.152,6.144,4.427
"5211",52100,-5.376,6.22,4.504
"5212",52110,-5.525,6.371,4.507
"5213",52120,-5.452,6.523,4.282
"5214",52130,-5.229,6.751,3.982
"5215",52140,-5.081,6.902,3.907
"5216",52150,-5.007,7.054,3.983
"5217",52160,-5.008,7.206,4.059
"5218",52170,-5.082,7.282,4.135
"5219",52180,-5.157,7.282,4.21
"5220",52190,-5.156,7.13,4.209
"5221",52200,-5.231,7.13,4.21
"5222",52210,-5.23,7.054,4.059
"5223",52220,-5.081,6.978,3.833
"5224",52230,-4.932,6.902,3.681
"5225",52240,-4.784,6.978,3.456
"5226",52250,-4.784,7.054,3.082
"5227",52260,-4.934,7.357,3.01
"5228",52270,-5.232,7.509,3.313
"5229",52280,-5.382,7.661,3.84
"5230",52290,-5.381,7.509,4.289
"5231",52300,-5.529,7.282,4.588
"5232",52310,-5.974,6.902,4.739
"5233",52320,-6.121,6.447,4.662
"5234",52330,-5.674,6.22,4.282
"5235",52340,-5.153,6.22,3.828
"5236",52350,-4.707,6.371,3.751
"5237",52360,-4.484,6.447,3.899
"5238",52370,-4.335,6.523,4.123
"5239",52380,-4.559,6.599,4.2
"5240",52390,-5.154,6.599,4.205
"5241",52400,-5.675,6.447,3.984
"5242",52410,-5.823,6.295,3.61
"5243",52420,-5.302,6.22,3.08
"5244",52430,-4.856,6.447,3.003
"5245",52440,-5.006,6.751,3.306
"5246",52450,-5.601,6.751,3.761
"5247",52460,-6.27,6.523,3.615
"5248",52470,-6.641,6.295,2.942
"5249",52480,-6.343,6.068,2.264
"5250",52490,-5.747,5.992,2.108
"5251",52500,-5.077,5.916,2.177
"5252",52510,-4.48,5.461,2.169
"5253",52520,-3.808,4.854,2.309
"5254",52530,-3.211,4.247,2.525
"5255",52540,-3.505,3.337,2.971
"5256",52550,-5.139,2.654,3.654
"5257",52560,-6.776,2.73,3.893
"5258",52570,-7.3,3.413,3.902
"5259",52580,-6.783,4.475,4.28
"5260",52590,-6.493,6.371,5.189
"5261",52600,-7.025,9.33,5.963
"5262",52610,-7.111,12.212,5.159
"5263",52620,-6.668,13.123,4.412
"5264",52630,-8.003,12.137,4.867
"5265",52640,-9.934,11.075,5.85
"5266",52650,-10.375,9.861,6.669
"5267",52660,-9.4,7.661,6.571
"5268",52670,-8.202,5.764,6.398
"5269",52680,-7.681,5.764,6.394
"5270",52690,-7.608,6.22,6.022
"5271",52700,-8.059,7.282,5.808
"5272",52710,-9.331,9.254,5.308
"5273",52720,-10.227,10.013,4.346
"5274",52730,-10.3,9.557,3.519
"5275",52740,-9.777,9.026,3.212
"5276",52750,-8.809,8.875,3.352
"5277",52760,-7.544,8.875,3.342
"5278",52770,-6.352,8.495,3.179
"5279",52780,-5.754,7.813,3.32
"5280",52790,-5.678,7.357,3.84
"5281",52800,-5.677,7.13,4.363
"5282",52810,-5.526,6.447,4.507
"5283",52820,-5.225,5.537,4.274
"5284",52830,-4.776,4.93,3.891
"5285",52840,-4.329,4.854,3.287
"5286",52850,-4.106,5.006,2.612
"5287",52860,-3.958,5.158,2.013
"5288",52870,-3.883,5.006,1.412
"5289",52880,-3.882,4.627,1.109
"5290",52890,-4.029,4.247,1.258
"5291",52900,-3.88,4.096,1.555
"5292",52910,-3.36,4.323,1.927
"5293",52920,-3.063,4.702,2.377
"5294",52930,-3.213,4.854,2.903
"5295",52940,-3.733,4.627,3.356
"5296",52950,-4.55,4.247,3.66
"5297",52960,-5.22,4.247,3.665
"5298",52970,-5.295,4.399,3.292
"5299",52980,-4.701,4.854,2.466
"5300",52990,-3.885,5.537,1.715
"5301",53000,-3.739,6.144,1.493
"5302",53010,-4.41,6.675,1.802
"5303",53020,-5.23,6.826,2.334
"5304",53030,-5.825,6.751,2.863
"5305",53040,-5.602,6.902,3.012
"5306",53050,-4.709,6.902,2.855
"5307",53060,-3.89,6.751,2.023
"5308",53070,-3.517,6.447,0.219
"5309",53080,-3.736,5.461,-0.61
"5310",53090,-5.367,3.944,0.443
"5311",53100,-7.148,2.503,2.621
"5312",53110,-8.338,2.503,4.953
"5313",53120,-8.942,4.854,6.248
"5314",53130,-8.362,8.799,5.896
"5315",53140,-6.886,11.985,4.931
"5316",53150,-7.261,12.668,5.164
"5317",53160,-10.088,12.364,6.309
"5318",53170,-11.948,12.516,6.925
"5319",53180,-12.019,11.606,6.47
"5320",53190,-9.554,9.026,4.634
"5321",53200,-7.536,6.826,4.751
"5322",53210,-7.536,6.751,5.65
"5323",53220,-8.729,7.433,6.864
"5324",53230,-10.522,9.178,7.34
"5325",53240,-11.347,10.923,6.085
"5326",53250,-10.9,10.923,4.283
"5327",53260,-10.228,10.088,2.998
"5328",53270,-9.928,9.482,2.617
"5329",53280,-9.183,9.254,2.834
"5330",53290,-7.322,9.254,2.518
"5331",53300,-5.237,8.875,2.273
"5332",53310,-4.341,8.04,2.71
"5333",53320,-4.263,6.978,3.152
"5334",53330,-3.959,5.461,3.289
"5335",53340,-3.508,4.171,3.201
"5336",53350,-3.209,3.868,2.897
"5337",53360,-3.136,4.323,2.525
"5338",53370,-3.212,4.702,2.003
"5339",53380,-3.435,4.627,1.705
"5340",53390,-3.583,4.323,1.404
"5341",53400,-3.507,3.944,1.176
"5342",53410,-3.581,3.716,1.1
"5343",53420,-3.729,3.64,1.101
"5344",53430,-3.803,3.489,1.251
"5345",53440,-3.728,3.413,1.549
"5346",53450,-4.101,3.489,2.002
"5347",53460,-4.622,3.565,2.382
"5348",53470,-4.845,3.64,2.459
"5349",53480,-4.846,3.944,2.386
"5350",53490,-4.775,4.778,2.317
"5351",53500,-4.853,5.537,2.547
"5352",53510,-5.227,6.068,3.153
"5353",53520,-5.452,6.523,3.533
"5354",53530,-5.379,7.054,3.686
"5355",53540,-5.085,7.888,3.689
"5356",53550,-5.088,8.723,3.32
"5357",53560,-4.939,8.723,2.195
"5358",53570,-4.635,7.13,0.983
"5359",53580,-4.701,4.778,0.218
"5360",53590,-4.993,3.337,-0.014
"5361",53600,-5.81,3.034,0.365
"5362",53610,-7.748,3.868,1.961
"5363",53620,-8.948,6.22,4.085
"5364",53630,-7.105,10.847,5.225
"5365",53640,-4.66,13.578,6.797
"5366",53650,-6.666,12.743,8.681
"5367",53660,-10.383,11.909,8.931
"5368",53670,-11.798,12.137,7.221
"5369",53680,-11.422,11.226,5.114
"5370",53690,-9.328,8.495,3.879
"5371",53700,-7.537,6.978,4.378
"5372",53710,-7.314,7.13,5.201
"5373",53720,-8.582,7.888,6.566
